,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 11:20:49.856423,,,,,,,,,
1,Simulation configuration ID,7ef9d1a8-281e-44ac-b3f0-7338785766f4,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_72,2.0,82.0,household_agent_84,99.0,0.0,53.0,99.0,135.0
1,,,household_agent_56,3.0,103.0,household_agent_57,112.0,0.0,59.0,112.0,162.0
2,,,household_agent_84,4.0,85.0,household_agent_72,155.0,0.0,53.0,155.0,138.0
